Layer,Similarity,Cosine Similarity
00.input_layernorm,36.474609375,0.9999990463256836
00.mlp.down_proj,15.585522992270334,0.9999290704727173
00.mlp.gate_proj,9.909684317452568,0.9998285174369812
00.mlp.up_proj,9.40173523766654,0.9998062252998352
00.post_attention_layernorm,65.8203125,0.9999966621398926
00.self_attn.k_proj,4.2495012283325195,0.9993017911911011
00.self_attn.o_proj,2.249312400817871,0.9971343278884888
00.self_attn.q_proj,3.3972740173339844,0.9994006156921387
00.self_attn.v_proj,2.2498369216918945,0.9971128702163696
01.input_layernorm,59.7412109375,0.9999982118606567
01.mlp.down_proj,12.397473199026924,0.9998111724853516
01.mlp.gate_proj,8.737475531441826,0.9997402429580688
01.mlp.up_proj,8.230076517377581,0.9997072815895081
01.post_attention_layernorm,92.431640625,0.9999990463256836
01.self_attn.k_proj,4.732060432434082,0.9995019435882568
01.self_attn.o_proj,2.9133081436157227,0.9980679154396057
01.self_attn.q_proj,4.013484716415405,0.9992542862892151
01.self_attn.v_proj,2.790665626525879,0.9980243444442749
02.input_layernorm,73.681640625,0.999997079372406
02.mlp.down_proj,10.155728885105678,0.9998241662979126
02.mlp.gate_proj,6.598200116838727,0.9995981454849243
02.mlp.up_proj,6.195836407797677,0.9995518326759338
02.post_attention_layernorm,51.904296875,0.9999964237213135
02.self_attn.k_proj,6.13560676574707,0.9995887279510498
02.self_attn.o_proj,2.7072131633758545,0.9977725148200989
02.self_attn.q_proj,5.127835273742676,0.9993913173675537
02.self_attn.v_proj,2.7417898178100586,0.9976356029510498
03.input_layernorm,74.560546875,0.9999967217445374
03.mlp.down_proj,8.25516836983817,0.9997543692588806
03.mlp.gate_proj,5.728677340916225,0.9994806051254272
03.mlp.up_proj,5.350329194750104,0.9994068741798401
03.post_attention_layernorm,80.4443359375,0.9999986886978149
03.self_attn.k_proj,6.600427627563477,0.9996581077575684
03.self_attn.o_proj,3.0253171920776367,0.998206377029419
03.self_attn.q_proj,5.094707012176514,0.9993933439254761
03.self_attn.v_proj,3.1949281692504883,0.9982742071151733
04.input_layernorm,78.1494140625,0.9999976754188538
04.mlp.down_proj,7.122155598231725,0.9996852874755859
04.mlp.gate_proj,5.055151666913714,0.9993796348571777
04.mlp.up_proj,4.64937686920166,0.9992501735687256
04.post_attention_layernorm,93.26171875,0.9999995231628418
04.self_attn.k_proj,5.874824523925781,0.999566912651062
04.self_attn.o_proj,2.9693782329559326,0.9981331825256348
04.self_attn.q_proj,4.738074541091919,0.9992824792861938
04.self_attn.v_proj,3.1408071517944336,0.9981867671012878
05.input_layernorm,82.666015625,0.9999973773956299
05.mlp.down_proj,6.641818795885358,0.9996252059936523
05.mlp.gate_proj,4.859856196812221,0.9993047714233398
05.mlp.up_proj,4.271856376102993,0.9991032481193542
05.post_attention_layernorm,96.3623046875,0.9999997615814209
05.self_attn.k_proj,6.102490425109863,0.9995918273925781
05.self_attn.o_proj,3.0523300170898438,0.9982321262359619
05.self_attn.q_proj,4.842334985733032,0.9993199110031128
05.self_attn.v_proj,2.9773950576782227,0.9980711936950684
06.input_layernorm,85.3759765625,0.9999977350234985
06.mlp.down_proj,6.467097146170479,0.9995995163917542
06.mlp.gate_proj,4.626073156084333,0.9992241859436035
06.mlp.up_proj,4.077705315181187,0.9990089535713196
06.post_attention_layernorm,90.380859375,0.9999986290931702
06.self_attn.k_proj,6.194519996643066,0.9996030330657959
06.self_attn.o_proj,3.1072914600372314,0.9982811808586121
06.self_attn.q_proj,4.814493656158447,0.9993242025375366
06.self_attn.v_proj,3.0210018157958984,0.9980698823928833
07.input_layernorm,78.125,0.9999969005584717
07.mlp.down_proj,6.327002389090401,0.9995779991149902
07.mlp.gate_proj,4.495399338858468,0.9991583824157715
07.mlp.up_proj,3.9211903299604147,0.998910665512085
07.post_attention_layernorm,71.2890625,0.9999956488609314
07.self_attn.k_proj,5.960631370544434,0.9995822906494141
07.self_attn.o_proj,3.2058775424957275,0.99842768907547
07.self_attn.q_proj,4.6481311321258545,0.9992846250534058
07.self_attn.v_proj,3.1501293182373047,0.9983074069023132
08.input_layernorm,74.4873046875,0.9999967217445374
08.mlp.down_proj,6.291615962982178,0.9995725154876709
08.mlp.gate_proj,4.435064111437116,0.999138355255127
08.mlp.up_proj,3.9556877953665595,0.9989128112792969
08.post_attention_layernorm,62.3046875,0.9999948740005493
08.self_attn.k_proj,5.800199508666992,0.9995589256286621
08.self_attn.o_proj,3.273552656173706,0.9984627366065979
08.self_attn.q_proj,4.714000225067139,0.9992952346801758
08.self_attn.v_proj,3.2343149185180664,0.9983662366867065
09.input_layernorm,74.5849609375,0.999997615814209
09.mlp.down_proj,6.312852246420723,0.9995756149291992
09.mlp.gate_proj,4.398512840270996,0.9991240501403809
09.mlp.up_proj,3.9715324129377096,0.9989384412765503
09.post_attention_layernorm,63.9892578125,0.9999955296516418
09.self_attn.k_proj,5.8254241943359375,0.9995794892311096
09.self_attn.o_proj,3.2608389854431152,0.9984726309776306
09.self_attn.q_proj,4.546904563903809,0.9992542266845703
09.self_attn.v_proj,3.0811548233032227,0.9981931447982788
10.input_layernorm,76.66015625,0.9999975562095642
10.mlp.down_proj,6.347271374293737,0.9995806217193604
10.mlp.gate_proj,4.343262740543911,0.9991195201873779
10.mlp.up_proj,3.9845449583871027,0.9989555478096008
10.post_attention_layernorm,68.84765625,0.9999960064888
10.self_attn.k_proj,6.299352645874023,0.9995988607406616
10.self_attn.o_proj,3.2600224018096924,0.9984760284423828
10.self_attn.q_proj,4.628646373748779,0.9992506504058838
10.self_attn.v_proj,3.0245304107666016,0.9981181621551514
11.input_layernorm,77.44140625,0.9999974966049194
11.mlp.down_proj,6.394086565290179,0.99957674741745
11.mlp.gate_proj,4.33990614754813,0.9991292953491211
11.mlp.up_proj,4.072662762233189,0.9990066289901733
11.post_attention_layernorm,69.6533203125,0.9999963641166687
11.self_attn.k_proj,5.754899978637695,0.999544620513916
11.self_attn.o_proj,3.352367877960205,0.9985694885253906
11.self_attn.q_proj,4.468321800231934,0.9992227554321289
11.self_attn.v_proj,3.2908201217651367,0.9984987378120422
12.input_layernorm,77.6123046875,0.9999973773956299
12.mlp.down_proj,6.396775586264473,0.9995779395103455
12.mlp.gate_proj,4.319328921181815,0.9991267919540405
12.mlp.up_proj,4.151056494031634,0.9990421533584595
12.post_attention_layernorm,71.923828125,0.9999973177909851
12.self_attn.k_proj,5.564212799072266,0.9995372295379639
12.self_attn.o_proj,3.2588958740234375,0.9984645843505859
12.self_attn.q_proj,4.424768686294556,0.9992318749427795
12.self_attn.v_proj,3.123784065246582,0.9982341527938843
13.input_layernorm,76.66015625,0.9999973773956299
13.mlp.down_proj,6.051252569471087,0.99943608045578
13.mlp.gate_proj,4.320980821337018,0.9990934133529663
13.mlp.up_proj,4.2584742818559915,0.9990710020065308
13.post_attention_layernorm,74.267578125,0.9999976754188538
13.self_attn.k_proj,5.910539627075195,0.9995449185371399
13.self_attn.o_proj,3.4117281436920166,0.9985934495925903
13.self_attn.q_proj,4.563784599304199,0.9992467164993286
13.self_attn.v_proj,3.3869504928588867,0.9985116124153137
14.input_layernorm,78.662109375,0.999997615814209
14.mlp.down_proj,6.264063290187291,0.9995228052139282
14.mlp.gate_proj,4.388364723750523,0.9991450905799866
14.mlp.up_proj,4.3009553636823386,0.9991080164909363
14.post_attention_layernorm,74.9267578125,0.9999978542327881
14.self_attn.k_proj,5.031752586364746,0.9993072152137756
14.self_attn.o_proj,3.4248828887939453,0.9985436201095581
14.self_attn.q_proj,4.137897491455078,0.9990007877349854
14.self_attn.v_proj,3.7804126739501953,0.9988491535186768
15.input_layernorm,84.4482421875,0.9999973773956299
15.mlp.down_proj,6.36312450681414,0.9995502829551697
15.mlp.gate_proj,4.458354200635638,0.9991918802261353
15.mlp.up_proj,4.301367487226214,0.9991229176521301
15.post_attention_layernorm,81.54296875,0.9999985098838806
15.self_attn.k_proj,5.012965202331543,0.9994097948074341
15.self_attn.o_proj,3.506237268447876,0.9986796379089355
15.self_attn.q_proj,4.216349124908447,0.9991377592086792
15.self_attn.v_proj,3.6129236221313477,0.9987329244613647
16.input_layernorm,87.8662109375,0.9999977350234985
16.mlp.down_proj,6.325084822518486,0.9995789527893066
16.mlp.gate_proj,4.507999760763986,0.9991911053657532
16.mlp.up_proj,4.242680753980364,0.9990732669830322
16.post_attention_layernorm,95.80078125,0.9999996423721313
16.self_attn.k_proj,5.176663398742676,0.9993973970413208
16.self_attn.o_proj,3.588515520095825,0.9987327456474304
16.self_attn.q_proj,4.259741306304932,0.9991311430931091
16.self_attn.v_proj,3.6389589309692383,0.9987578392028809
